13:27:59 16/01/2022,16:27:59 16/01/2022,-31.87,-69.85,137.00 Km,3.7 ML,70 km al E de Mina Los Pelambres
01:59:33 17/01/2022,04:59:33 17/01/2022,-29.89,-72.14,37.00 Km,4.5 ml,74 km al NO de Tongoy
01:59:32 17/01/2022,04:59:32 17/01/2022,-30.0,-71.99,32.60 Km,4.6 Mw,56 km al NO de Tongoy
19:46:08 17/01/2022,22:46:08 17/01/2022,-21.65,-69.9,81.50 Km,3.3 ML,38 km al O de Quillagua
19:46:08 17/01/2022,22:46:08 17/01/2022,-21.65,-69.9,81.50 Km,3.3 ML,38 km al O de Quillagua
19:46:08 17/01/2022,22:46:08 17/01/2022,-21.65,-69.9,81.50 Km,3.3 ML,38 km al O de Quillagua
19:46:08 17/01/2022,22:46:08 17/01/2022,-21.65,-69.9,81.50 Km,3.3 ML,38 km al O de Quillagua
19:46:08 17/01/2022,22:46:08 17/01/2022,-21.65,-69.9,81.50 Km,3.3 ML,38 km al O de Quillagua
19:46:08 17/01/2022,22:46:08 17/01/2022,-21.65,-69.9,81.50 Km,3.3 ML,38 km al O de Quillagua
19:46:08 17/01/2022,22:46:08 17/01/2022,-21.65,-69.9,81.50 Km,3.3 ML,38 km al O de Quillagua
19:46:08 17/01/2022,22:46:08 17/01/2022,-21.65,-69.9,81.50 Km,3.3 ML,38 km al O de Quillagua
